candlestick_code3,label_increase,label_decrease,occurrence,percentage
BBB,586,737,1323,0.44
BBD,76,53,129,0.59
BBH,4,10,14,0.29
BBI,0,1,1,0.0
BBK,45,46,91,0.49
BBL,112,168,280,0.4
BBM,416,574,990,0.42
BBN,559,675,1234,0.45
BBP,604,696,1300,0.46
BBS,221,263,484,0.46
BBb,613,614,1227,0.5
BBh,44,57,101,0.44
BBj,105,160,265,0.4
BBl,172,162,334,0.51
BBm,671,595,1266,0.53
BBn,717,780,1497,0.48
BBs,264,260,524,0.5
BBt,96,94,190,0.51
BDB,47,73,120,0.39
BDD,19,12,31,0.61
BDH,64,65,129,0.5
BDI,12,7,19,0.63
BDK,3,1,4,0.75
BDL,21,30,51,0.41
BDM,67,93,160,0.42
BDN,62,54,116,0.53
BDP,65,70,135,0.48
BDS,72,70,142,0.51
BDb,62,55,117,0.53
BDh,7,3,10,0.7
BDl,19,10,29,0.66
BDm,83,83,166,0.5
BDn,57,62,119,0.48
BDs,57,60,117,0.49
BDt,7,8,15,0.47
BHB,7,5,12,0.58
BHD,3,1,4,0.75
BHH,0,0,0,
BHI,3,0,3,1.0
BHK,1,0,1,1.0
BHL,1,3,4,0.25
BHM,9,9,18,0.5
BHN,8,7,15,0.53
BHP,13,7,20,0.65
BHS,3,7,10,0.3
BHb,5,9,14,0.36
BHh,1,1,2,0.5
BHl,3,2,5,0.6
BHm,8,6,14,0.57
BHn,6,5,11,0.55
BHs,7,5,12,0.58
BIB,2,1,3,0.67
BID,2,0,2,1.0
BIH,1,1,2,0.5
BIM,1,7,8,0.12
BIN,0,3,3,0.0
BIP,0,1,1,0.0
BIS,1,1,2,0.5
BIb,3,3,6,0.5
BIh,0,1,1,0.0
BIl,1,0,1,1.0
BIm,2,0,2,1.0
BIn,0,0,0,
BIs,2,1,3,0.67
BKB,43,63,106,0.41
BKD,9,10,19,0.47
BKH,9,5,14,0.64
BKI,9,13,22,0.41
BKK,2,3,5,0.4
BKL,15,16,31,0.48
BKM,61,78,139,0.44
BKN,42,55,97,0.43
BKP,62,70,132,0.47
BKS,40,53,93,0.43
BKb,38,44,82,0.46
BKh,46,60,106,0.43
BKl,22,11,33,0.67
BKm,80,60,140,0.57
BKn,49,37,86,0.57
BKs,48,51,99,0.48
BKt,15,7,22,0.68
BLB,143,189,332,0.43
BLD,11,13,24,0.46
BLH,1,4,5,0.2
BLK,8,9,17,0.47
BLL,32,46,78,0.41
BLM,110,125,235,0.47
BLN,138,138,276,0.5
BLP,140,161,301,0.47
BLS,78,69,147,0.53
BLb,138,152,290,0.48
BLh,57,57,114,0.5
BLj,28,34,62,0.45
