,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
16,BBMB,41,66,0.62,107,0.75,16,0.62,16,0.62,13,0.55,11,0.72,18,0.6621621621621622,74
50,BBbN,76,99,0.5700000000000001,175,0.52,21,0.53,30,0.62,39,0.55,20,0.52,21,0.5572519083969466,131
51,BBbn,59,82,0.5800000000000001,141,0.53,19,0.54,24,0.5,28,0.55,22,0.64,22,0.5478260869565217,115
56,BBlN,15,17,0.53,32,0.71,7,0.6,5,0.53,15,1.0,5,0.5,8,0.625,40
58,BBlS,11,14,0.56,25,0.6699999999999999,3,0.75,4,0.6699999999999999,3,0.75,4,0.5,2,0.6875,16
89,BLBn,23,31,0.5700000000000001,54,0.55,11,0.5700000000000001,7,0.56,16,0.5,6,0.55,11,0.5490196078431373,51
100,BLPn,11,13,0.54,24,0.5,8,0.5700000000000001,14,0.5700000000000001,14,0.62,8,0.6,10,0.5740740740740741,54
119,BMBn,72,88,0.55,160,0.5700000000000001,23,0.52,25,0.53,17,0.6699999999999999,15,0.52,27,0.5514018691588785,107
122,BMLB,13,13,0.5,26,0.8,5,0.5,4,0.6699999999999999,6,0.8,5,0.5700000000000001,7,0.6666666666666666,27
150,BMPN,55,72,0.5700000000000001,127,0.55,20,0.5700000000000001,14,0.6,30,0.56,25,0.62,24,0.584070796460177,113
171,BMhP,32,35,0.52,67,0.62,21,0.64,11,0.61,18,0.65,26,0.5800000000000001,19,0.6210526315789474,95
183,BMmL,11,12,0.52,23,0.75,4,0.6699999999999999,3,1.0,3,0.5,4,0.83,6,0.75,20
212,BNBs,22,28,0.56,50,0.78,9,0.7,10,0.69,13,0.83,6,0.5,6,0.7045454545454546,44
214,BNHN,12,12,0.5,24,0.6699999999999999,3,0.5,4,0.5,6,1.0,2,1.0,2,0.6470588235294118,17
233,BNNP,87,86,0.5,173,0.61,33,0.52,54,0.63,46,0.64,36,0.5800000000000001,33,0.5891089108910891,202
240,BNPN,61,77,0.56,138,0.5,36,0.71,35,0.63,41,0.6,50,0.56,36,0.601010101010101,198
252,BNSS,38,50,0.5700000000000001,88,0.54,13,0.63,19,0.5,12,0.7,10,0.5,6,0.5833333333333334,60
260,BNhN,21,22,0.51,43,0.86,7,0.71,7,0.6699999999999999,9,1.0,6,0.71,7,0.7777777777777778,36
267,BNlN,16,22,0.5800000000000001,38,0.62,13,0.6,5,0.5,12,0.78,9,0.6,10,0.6122448979591837,49
269,BNln,12,14,0.54,26,0.6,5,0.71,7,0.62,8,0.6699999999999999,12,0.6699999999999999,9,0.6585365853658537,41
284,BNnb,51,53,0.51,104,0.53,15,0.61,18,0.5700000000000001,30,0.5,22,0.61,28,0.5663716814159292,113
303,BPBM,42,54,0.56,96,0.56,16,0.53,15,0.71,24,0.53,15,0.78,9,0.620253164556962,79
328,BPMP,59,58,0.5,117,0.56,43,0.6799999999999999,28,0.5800000000000001,43,0.62,29,0.61,31,0.603448275862069,174
353,BPSM,36,54,0.6,90,0.5800000000000001,12,0.6799999999999999,19,0.55,11,0.5900000000000001,22,0.65,17,0.6172839506172839,81
382,BPnH,27,35,0.56,62,0.5800000000000001,12,0.62,13,0.62,13,0.6699999999999999,12,0.5,18,0.5882352941176471,68
396,BPsP,35,60,0.63,95,0.54,26,0.53,19,0.56,32,0.56,18,0.53,17,0.5446428571428571,112
399,BSBN,22,33,0.6,55,0.5,6,0.54,13,0.5,10,0.86,7,0.5800000000000001,12,0.5833333333333334,48
412,BSMS,28,31,0.53,59,0.5700000000000001,7,0.88,8,1.0,1,0.5,8,0.5,2,0.6538461538461539,26
424,BSPM,23,39,0.63,62,0.6699999999999999,9,0.61,18,0.62,13,0.5700000000000001,14,0.71,14,0.6323529411764706,68
433,BSSP,20,34,0.63,54,0.62,8,0.5800000000000001,12,0.5800000000000001,12,0.56,18,0.6,10,0.5833333333333334,60
441,BSbS,20,31,0.61,51,0.56,9,0.5,4,0.6699999999999999,6,0.5,8,0.5,6,0.5454545454545454,33
442,BSbn,25,28,0.53,53,0.55,11,0.5,8,0.5,18,0.5,12,0.69,16,0.5538461538461539,65
457,BSnP,30,35,0.54,65,0.65,17,0.53,17,0.5900000000000001,22,0.6699999999999999,24,0.62,34,0.6140350877192983,114
470,BbBP,46,53,0.54,99,0.5700000000000001,28,0.5800000000000001,24,0.56,25,0.62,24,0.5,20,0.5702479338842975,121
488,BbLN,9,14,0.61,23,0.6699999999999999,9,0.5,4,0.6699999999999999,6,0.55,11,0.7,10,0.625,40
493,BbMN,50,54,0.52,104,0.5,20,0.5,20,0.7,20,0.63,19,0.5,24,0.5631067961165048,103
494,BbMP,47,50,0.52,97,0.56,27,0.56,25,0.5900000000000001,27,0.53,30,0.55,33,0.5563380281690141,142
510,BbPL,18,29,0.62,47,0.6,5,0.69,13,0.5,12,0.5,14,0.75,4,0.5833333333333334,48
539,BbnM,37,59,0.61,96,0.6799999999999999,22,0.61,23,0.56,18,0.5700000000000001,23,0.6799999999999999,22,0.6203703703703703,108
561,BjSn,11,15,0.5800000000000001,26,1.0,2,1.0,3,0.5,4,0.5,4,0.5,6,0.631578947368421,19
563,BjbP,9,14,0.61,23,1.0,3,0.5,8,0.56,16,0.5,12,0.56,9,0.5625,48
572,BlHS,10,14,0.5800000000000001,24,1.0,2,0.6699999999999999,6,0.6699999999999999,3,0.6699999999999999,3,0.75,4,0.7222222222222222,18
579,BlNP,21,22,0.51,43,0.8,15,0.55,11,0.53,19,0.5,16,0.53,15,0.5789473684210527,76
597,BlmM,15,18,0.55,33,0.5,8,0.86,7,0.5,4,0.5,4,0.56,9,0.59375,32
619,BmHH,12,13,0.52,25,1.0,1,1.0,1,0.5,4,1.0,1,0.6699999999999999,3,0.7,10
632,BmLm,22,23,0.51,45,0.5700000000000001,7,0.5,8,0.5,6,0.6,5,0.75,4,0.5666666666666667,30
641,BmNB,48,65,0.5800000000000001,113,0.5800000000000001,12,0.5,20,0.89,9,0.62,8,0.54,13,0.5967741935483871,62
648,BmNl,14,16,0.53,30,0.62,8,0.5700000000000001,7,0.64,11,0.5,10,0.6,10,0.5869565217391305,46
659,BmSM,37,43,0.54,80,0.62,13,0.5,16,0.64,14,0.5,2,0.62,8,0.5849056603773585,53
680,Bmml,9,13,0.5900000000000001,22,0.75,4,0.6699999999999999,3,0.5,2,1.0,2,0.5,4,0.6666666666666666,15
710,BnHh,12,19,0.61,31,0.5,6,0.6,5,0.6699999999999999,6,1.0,4,0.62,8,0.6551724137931034,29
712,BnIB,11,11,0.5,22,0.5,2,1.0,3,0.8,5,1.0,2,0.5,2,0.7857142857142857,14
716,BnIS,9,13,0.5900000000000001,22,1.0,1,0.6699999999999999,6,0.6,5,1.0,1,0.6699999999999999,3,0.6875,16
737,BnNP,101,99,0.5,200,0.56,55,0.5700000000000001,61,0.52,73,0.5,64,0.55,56,0.540453074433657,309
738,BnNh,25,29,0.54,54,0.5700000000000001,14,0.54,13,0.6,10,0.5,12,0.5800000000000001,12,0.5573770491803278,61
739,BnNl,23,27,0.54,50,0.5,10,0.6,5,0.5,12,0.53,17,0.6,15,0.5423728813559322,59
759,BnbM,52,61,0.54,113,0.6,25,0.5700000000000001,23,0.56,27,0.52,23,0.5700000000000001,28,0.5634920634920635,126
778,BnnM,53,78,0.6,131,0.54,26,0.5,34,0.5,28,0.64,28,0.6599999999999999,29,0.5655172413793104,145
