candlestick_code5,label_increase,label_decrease,occurrence,percentage
BBBBB,1,0,1,1.0
BBBBM,2,2,4,0.5
BBBBN,0,3,3,0.0
BBBBP,2,1,3,0.67
BBBBb,0,1,1,0.0
BBBBm,0,1,1,0.0
BBBBn,0,1,1,0.0
BBBDP,1,0,1,1.0
BBBLB,0,1,1,0.0
BBBLM,1,1,2,0.5
BBBLP,1,0,1,1.0
BBBMB,1,2,3,0.33
BBBML,1,0,1,1.0
BBBMM,0,1,1,0.0
BBBMN,1,0,1,1.0
BBBMP,1,1,2,0.5
BBBMS,0,1,1,0.0
BBBMb,1,1,2,0.5
BBBMh,0,1,1,0.0
BBBMn,1,1,2,0.5
BBBMs,0,0,0,
BBBNB,3,1,4,0.75
BBBNM,0,1,1,0.0
BBBNN,2,0,2,1.0
BBBNP,3,1,4,0.75
BBBNb,1,2,3,0.33
BBBNh,0,1,1,0.0
BBBNl,0,1,1,0.0
BBBNn,1,2,3,0.33
BBBPB,1,0,1,1.0
BBBPD,0,1,1,0.0
BBBPM,2,1,3,0.67
BBBPN,2,0,2,1.0
BBBPP,2,2,4,0.5
BBBPS,1,0,1,1.0
BBBPb,0,1,1,0.0
BBBPl,1,2,3,0.33
BBBPn,1,0,1,1.0
BBBSB,0,1,1,0.0
BBBSD,0,1,1,0.0
BBBSh,0,1,1,0.0
BBBbH,1,0,1,1.0
BBBbJ,1,0,1,1.0
BBBbL,1,3,4,0.25
BBBbM,0,2,2,0.0
BBBbN,2,0,2,1.0
BBBbP,1,1,2,0.5
BBBbb,1,1,2,0.5
BBBbm,1,1,2,0.5
BBBbn,1,0,1,1.0
BBBbs,2,0,2,1.0
BBBhP,1,0,1,1.0
BBBjB,0,1,1,0.0
BBBlB,0,1,1,0.0
BBBlM,0,1,1,0.0
BBBlN,0,1,1,0.0
BBBlP,0,0,0,
BBBlb,1,0,1,1.0
BBBmM,1,1,2,0.5
BBBmN,1,3,4,0.25
BBBmP,0,1,1,0.0
BBBmb,0,1,1,0.0
BBBmm,1,1,2,0.5
BBBnB,2,0,2,1.0
BBBnH,1,0,1,1.0
BBBnL,1,0,1,1.0
BBBnN,3,2,5,0.6
BBBnP,0,2,2,0.0
BBBnS,0,1,1,0.0
BBBnb,0,1,1,0.0
BBBnl,0,2,2,0.0
BBBnm,2,0,2,1.0
BBBnn,0,1,1,0.0
BBBns,0,1,1,0.0
BBBsH,0,0,0,
BBBsM,0,1,1,0.0
BBBsP,0,0,0,
BBBsS,0,1,1,0.0
BBBtH,0,1,1,0.0
BBBtn,1,1,2,0.5
BBDPB,0,1,1,0.0
BBDPS,0,1,1,0.0
BBDbS,1,0,1,1.0
