,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
7,BBPmN,13,11,0.54,24,0.57,7,1.0,2,0.5,4,1.0,1,1.0,1,0.6666666666666666,15
17,BMmNn,17,13,0.57,30,0.75,8,0.67,3,1.0,3,1.0,2,1.0,1,0.8235294117647058,17
34,BNmMn,15,8,0.65,23,0.5,2,0.67,3,0.5,2,1.0,1,1.0,4,0.75,12
84,BnPnP,13,13,0.5,26,0.6,5,0.8,5,1.0,3,0.8,5,0.5,10,0.6785714285714286,28
85,BnPnS,13,12,0.52,25,0.5,2,0.75,4,0.5,2,1.0,3,0.6,5,0.6875,16
90,BnmnP,14,10,0.58,24,0.75,4,0.6,5,0.67,6,0.6,5,1.0,2,0.6818181818181818,22
115,MBnMm,13,10,0.57,23,0.67,3,0.6,5,0.5,2,1.0,1,1.0,1,0.6666666666666666,12
118,MBnPP,20,15,0.57,35,0.67,6,0.57,7,0.75,4,0.5,6,1.0,4,0.6666666666666666,27
123,MMBnN,12,12,0.5,24,0.57,7,0.5,4,0.5,2,0.62,8,0.5,6,0.5555555555555556,27
133,MMNnN,19,9,0.68,28,1.0,1,0.5,4,1.0,1,0.75,4,0.71,7,0.7058823529411765,17
148,MMnNn,19,12,0.61,31,0.5,10,0.71,7,0.57,7,0.57,7,0.5,2,0.5757575757575758,33
162,MNPMm,18,8,0.69,26,0.71,7,0.5,2,0.67,3,0.5,2,1.0,2,0.6875,16
167,MNbNN,14,11,0.56,25,1.0,2,0.75,4,0.5,2,0.75,4,0.57,7,0.6842105263157895,19
187,MPNPn,12,9,0.57,21,0.57,7,0.5,2,0.67,6,0.6,5,0.6,5,0.6,25
222,Mbnbn,15,7,0.68,22,1.0,4,1.0,2,1.0,1,0.83,6,0.67,3,0.875,16
228,MmHNP,13,10,0.57,23,0.5,2,0.6,5,0.5,2,0.5,4,1.0,1,0.5714285714285714,14
257,MmPnN,11,11,0.5,22,0.5,4,0.8,5,0.5,4,0.67,6,0.5,2,0.6190476190476191,21
262,MmmNN,14,12,0.54,26,0.6,5,0.5,2,0.5,4,0.5,2,1.0,3,0.625,16
293,MnNNP,12,12,0.5,24,0.55,11,0.8,5,0.88,8,0.5,12,0.63,19,0.6363636363636364,55
308,MnNns,18,11,0.62,29,0.8,5,0.6,5,0.5,4,0.83,6,0.6,5,0.68,25
326,MnSNN,13,11,0.54,24,0.6,5,0.5,2,0.5,4,0.67,6,0.6,5,0.5909090909090909,22
333,MnbNn,13,12,0.52,25,0.6,5,0.5,6,0.83,6,0.8,5,0.67,6,0.6785714285714286,28
338,MnmNn,16,15,0.52,31,0.67,6,0.67,3,0.5,4,0.57,7,0.5,6,0.5769230769230769,26
341,MnmmN,14,14,0.5,28,0.71,7,0.5,6,1.0,3,0.5,2,0.5,4,0.6363636363636364,22
345,MnnNb,12,10,0.55,22,0.5,4,1.0,1,0.5,2,0.6,5,0.67,6,0.6111111111111112,18
368,NBPPB,12,10,0.55,22,0.8,5,0.5,2,0.5,6,1.0,2,0.6,5,0.65,20
378,NMBNB,13,9,0.59,22,1.0,2,0.5,2,0.5,2,1.0,1,1.0,1,0.75,8
386,NMNnn,17,9,0.65,26,0.6,5,0.71,7,0.8,5,0.5,4,0.75,8,0.6896551724137931,29
390,NMPNn,14,9,0.61,23,0.75,4,0.67,3,0.75,4,0.67,9,0.8,5,0.72,25
439,NNPPN,15,9,0.62,24,0.86,7,0.7,10,0.6,5,0.55,11,0.5,10,0.627906976744186,43
440,NNPPS,13,10,0.57,23,0.5,4,0.8,5,0.57,7,0.5,4,0.67,3,0.6086956521739131,23
463,NNnbn,15,8,0.65,23,0.6,5,0.75,4,1.0,2,0.75,4,0.67,3,0.7222222222222222,18
467,NNnsN,17,9,0.65,26,0.5,4,0.5,6,0.75,4,0.5,4,0.75,4,0.5909090909090909,22
472,NNsSs,18,11,0.62,29,1.0,1,0.71,7,0.75,4,0.8,5,0.67,3,0.75,20
512,NPSsm,17,5,0.77,22,0.75,4,1.0,2,1.0,2,1.0,1,1.0,1,0.9,10
524,NPnNP,11,11,0.5,22,0.55,11,0.5,8,0.71,7,0.6,10,0.91,11,0.6595744680851063,47
527,NPnmm,13,8,0.62,21,0.67,6,1.0,2,0.5,2,0.5,2,0.5,2,0.6428571428571429,14
531,NSNnm,18,6,0.75,24,0.67,3,0.6,5,1.0,3,1.0,1,1.0,2,0.7857142857142857,14
569,NmPPn,11,10,0.52,21,1.0,1,0.75,4,0.5,2,0.75,4,1.0,1,0.75,12
585,Nmnnn,15,9,0.62,24,0.6,5,0.6,5,1.0,1,0.5,4,1.0,4,0.6842105263157895,19
586,NnMMn,15,10,0.6,25,0.67,3,0.5,2,0.6,5,1.0,3,0.71,7,0.7,20
588,NnMPN,12,12,0.5,24,0.6,5,0.67,3,0.8,5,0.75,4,0.6,5,0.6818181818181818,22
593,NnMnm,16,12,0.57,28,0.5,4,0.5,2,0.75,4,1.0,2,0.5,4,0.625,16
594,NnNBP,15,12,0.56,27,0.6,5,0.6,5,0.57,7,0.71,7,1.0,2,0.6538461538461539,26
638,NnSnN,16,12,0.57,28,0.5,4,0.5,6,0.8,5,0.67,3,0.5,2,0.6,20
640,NnSss,21,13,0.62,34,0.67,3,0.5,6,1.0,4,0.67,3,0.5,4,0.65,20
649,NnnMb,16,9,0.64,25,1.0,2,1.0,1,0.67,3,0.67,3,1.0,5,0.8571428571428571,14
661,NnnSP,15,10,0.6,25,0.6,5,0.6,5,0.6,5,0.8,5,0.5,4,0.625,24
724,PMmbb,12,11,0.52,23,1.0,4,0.67,3,0.67,3,0.5,2,0.5,4,0.6875,16
743,PNPmN,12,11,0.52,23,0.6,5,0.8,5,0.57,7,0.75,4,0.5,8,0.6206896551724138,29
744,PNPmm,13,9,0.59,22,0.67,6,0.75,4,0.67,3,0.5,4,0.6,5,0.6363636363636364,22
759,PNnmb,12,10,0.55,22,0.71,7,0.5,2,1.0,3,0.5,2,1.0,4,0.7777777777777778,18
760,PNnnS,11,11,0.5,22,1.0,3,1.0,2,1.0,1,0.5,2,0.5,4,0.75,12
771,PPMPm,15,11,0.58,26,0.5,6,0.5,6,0.78,9,0.5,12,0.83,6,0.6153846153846154,39
792,PPPmM,14,13,0.52,27,0.67,12,0.6,10,0.5,12,0.5,6,0.5,2,0.5714285714285714,42
806,PPbPm,18,13,0.58,31,0.8,5,0.67,3,0.75,8,0.67,3,0.83,6,0.76,25
821,PPmmb,15,11,0.58,26,1.0,4,1.0,3,0.67,3,1.0,1,0.5,2,0.8461538461538461,13
