,Name,length,direction,label_increase,label_decrease,occurrence,percentage,code
0,HAMMER,1,bullish,4643,4964,9607,0.48,H
1,MARUBOZU,1,bullish,7161,8569,15730,0.46,M
2,INVERTEDHAMMER,1,bullish,1168,1109,2277,0.51,J
3,PIERCING,2,bullish,135,133,268,0.5,mM
4,ENGULFING,2,bullish,2788,2973,5761,0.48,PB
5,HARAMI,2,bullish,2513,2492,5005,0.5,bN
6,COUNTERATTACK,2,bullish,9,17,26,0.35,mB
7,BELTHOLD,2,bullish,16726,18484,35210,0.48,hM
8,MORNINGSTAR,3,bullish,320,376,696,0.46,msM
9,3WHITESOLDIERS,3,bullish,238,331,569,0.42,MMM
10,3INSIDE,3,bullish,408,455,863,0.47,lDM
11,3OUTSIDE,3,bullish,1256,1363,2619,0.48,lLB
12,TASUKIGAP,3,bullish,30,30,60,0.5,DtH
13,HIKKAKE,3,bullish,5161,5117,10278,0.5,bPn
14,3LINESTRIKE,4,bullish,102,83,185,0.55,SLMm
15,CONCEALBABYSWALL,4,bullish,2,1,3,0.67,ssPn
16,RISEFALL3METHODS,5,bullish,10,13,23,0.43,MDHPM
17,BREAKAWAY,5,bullish,1,1,2,0.5,lsIHM
18,LADDERBOTTOM,5,bullish,13,26,39,0.33,nnmst
19,HANGINGMAN,1,bearish,3188,3656,6844,0.47,h
20,MARUBOZU,1,bearish,8910,7506,16416,0.54,m
21,SHOOTINGSTAR,1,bearish,815,862,1677,0.49,t
22,DARKCLOUDCOVER,2,bearish,179,143,322,0.56,Mm
23,ENGULFING,2,bearish,3574,3218,6792,0.53,Nm
24,HARAMI,2,bearish,2513,2491,5004,0.5,MP
25,ONNECK,2,bearish,132,125,257,0.51,mP
26,COUNTERATTACK,2,bearish,28,12,40,0.7,Mm
27,2CROWS,2,bearish,7,4,11,0.64,tm
28,BELTHOLD,2,bearish,18032,16326,34358,0.52,Mb
29,EVENINGSTAR,3,bearish,295,306,601,0.49,Mtm
30,EVENINGDOJISTAR,3,bearish,119,113,232,0.51,Lsm
31,3BLACKCROWS,3,bearish,40,31,71,0.56,msm
32,3INSIDE,3,bearish,424,399,823,0.52,BPm
33,3OUTSIDE,3,bearish,1591,1438,3029,0.53,Sbm
34,ADVANCEBLOCK,3,bearish,1379,1506,2885,0.48,MtS
35,TASUKIGAP,3,bearish,24,15,39,0.62,HlB
36,HIKKAKE,3,bearish,4899,5041,9940,0.49,tSP
37,3LINESTRIKE,4,bearish,88,93,181,0.49,IHHM
38,RISEFALL3METHODS,5,bearish,20,8,28,0.71,bPhNm
