,Name,length,direction,label_increase,label_decrease,occurrence,percentage,code
0,HAMMER,1,bullish,13924,15086,29010,0.48,H
1,MARUBOZU,1,bullish,19860,24482,44342,0.45,M
2,INVERTEDHAMMER,1,bullish,4769,4191,8960,0.53,I
3,PIERCING,2,bullish,602,720,1322,0.46,mB
4,ENGULFING,2,bullish,10397,11548,21945,0.47,nB
5,HARAMI,2,bullish,9624,9544,19168,0.5,lS
6,COUNTERATTACK,2,bullish,45,56,101,0.45,bL
7,BELTHOLD,2,bullish,46894,52724,99618,0.47,PB
8,MORNINGSTAR,3,bullish,1201,1352,2553,0.47,lsB
9,3WHITESOLDIERS,3,bullish,663,860,1523,0.44,SSM
10,3INSIDE,3,bullish,1584,1801,3385,0.47,lnM
11,3OUTSIDE,3,bullish,4602,5266,9868,0.47,mMB
12,3STARSINSOUTH,3,bullish,1,0,1,1.0,bss
13,TASUKIGAP,3,bullish,173,167,340,0.51,NBb
14,HIKKAKE,3,bullish,16053,15462,31515,0.51,Lss
15,3LINESTRIKE,4,bullish,389,343,732,0.53,PNSm
16,CONCEALBABYSWALL,4,bullish,5,1,6,0.83,msPP
17,RISEFALL3METHODS,5,bullish,36,48,84,0.43,MsPnB
18,BREAKAWAY,5,bullish,4,3,7,0.57,mnSbL
19,LADDERBOTTOM,5,bullish,64,97,161,0.4,mmmPM
20,MATHOLD,5,bullish,1,2,3,0.33,BnPHB
21,HANGINGMAN,1,bearish,9946,11450,21396,0.46,h
22,MARUBOZU,1,bearish,26270,21594,47864,0.55,m
23,SHOOTINGSTAR,1,bearish,3459,3355,6814,0.51,t
24,DARKCLOUDCOVER,2,bearish,746,669,1415,0.53,Ll
25,ENGULFING,2,bearish,13392,12035,25427,0.53,Jb
26,HARAMI,2,bearish,9560,9640,19200,0.5,Ms
27,ONNECK,2,bearish,598,564,1162,0.51,mJ
28,COUNTERATTACK,2,bearish,73,71,144,0.51,Lb
29,2CROWS,2,bearish,37,25,62,0.6,hP
30,BELTHOLD,2,bearish,53609,47300,100909,0.53,Pl
31,EVENINGSTAR,3,bearish,1297,1160,2457,0.53,Mtb
32,EVENINGDOJISTAR,3,bearish,510,470,980,0.52,Mjm
33,3BLACKCROWS,3,bearish,161,147,308,0.52,mmn
34,3INSIDE,3,bearish,1771,1539,3310,0.54,Bnn
35,3OUTSIDE,3,bearish,6089,5322,11411,0.53,Jbb
36,ADVANCEBLOCK,3,bearish,3749,4001,7750,0.48,MMB
37,TASUKIGAP,3,bearish,151,155,306,0.49,PbL
38,HIKKAKE,3,bearish,14916,15595,30511,0.49,nHD
39,3LINESTRIKE,4,bearish,282,322,604,0.47,nIHB
40,RISEFALL3METHODS,5,bearish,66,37,103,0.64,lSPSm
41,BREAKAWAY,5,bearish,6,4,10,0.6,MNMPm
