candlestick_code3,label_increase,label_decrease,occurrence,percentage
BBB,527,585,1112,0.47
BBD,54,55,109,0.5
BBH,10,1,11,0.91
BBI,0,1,1,0.0
BBK,33,41,74,0.45
BBL,157,165,322,0.49
BBM,388,452,840,0.46
BBN,533,603,1136,0.47
BBP,685,662,1347,0.51
BBS,202,219,421,0.48
BBb,528,563,1091,0.48
BBh,49,50,99,0.49
BBj,133,135,268,0.5
BBl,166,211,377,0.44
BBm,493,430,923,0.53
BBn,690,659,1349,0.51
BBs,207,194,401,0.52
BBt,69,76,145,0.48
BDB,52,45,97,0.54
BDD,36,22,58,0.62
BDH,47,64,111,0.42
BDI,6,3,9,0.67
BDK,0,1,1,0.0
BDL,29,27,56,0.52
BDM,59,61,120,0.49
BDN,54,63,117,0.46
BDP,81,70,151,0.54
BDS,57,56,113,0.5
BDb,52,56,108,0.48
BDh,1,3,4,0.25
BDl,23,23,46,0.5
BDm,91,68,159,0.57
BDn,52,51,103,0.5
BDs,45,54,99,0.45
BDt,8,7,15,0.53
BHB,5,4,9,0.56
BHD,1,0,1,1.0
BHH,1,1,2,0.5
BHI,1,2,3,0.33
BHK,0,0,0,
BHL,2,2,4,0.5
BHM,11,7,18,0.61
BHN,4,4,8,0.5
BHP,5,6,11,0.45
BHS,3,5,8,0.38
BHb,7,2,9,0.78
BHh,1,0,1,1.0
BHl,1,2,3,0.33
BHm,5,3,8,0.62
BHn,3,1,4,0.75
BHs,3,3,6,0.5
BHt,1,0,1,1.0
BIB,1,0,1,1.0
BIH,0,1,1,0.0
BIL,0,0,0,
BIM,2,0,2,1.0
BIN,0,1,1,0.0
BIm,1,1,2,0.5
BIn,0,1,1,0.0
BIs,0,1,1,0.0
BKB,38,34,72,0.53
BKD,4,8,12,0.33
BKH,7,4,11,0.64
BKI,6,4,10,0.6
BKL,15,16,31,0.48
BKM,52,48,100,0.52
BKN,29,46,75,0.39
BKP,63,64,127,0.5
BKS,24,32,56,0.43
BKb,47,40,87,0.54
BKh,26,37,63,0.41
BKl,19,20,39,0.49
BKm,54,60,114,0.47
BKn,48,42,90,0.53
BKs,30,32,62,0.48
BKt,4,2,6,0.67
BLB,148,168,316,0.47
BLD,16,20,36,0.44
BLH,3,5,8,0.38
BLK,8,13,21,0.38
BLL,51,75,126,0.4
BLM,127,168,295,0.43
BLN,130,164,294,0.44
BLP,255,236,491,0.52
BLS,84,100,184,0.46
BLb,195,172,367,0.53
BLh,67,91,158,0.42
BLj,57,65,122,0.47
BLl,97,93,190,0.51
BLm,208,169,377,0.55
BLn,217,265,482,0.45
BLs,107,83,190,0.56
BLt,29,33,62,0.47
BMB,374,468,842,0.44
BMD,52,47,99,0.53
BMH,2,4,6,0.33
BMI,1,1,2,0.5
BMK,4,6,10,0.4
BML,145,130,275,0.53
BMM,399,471,870,0.46
BMN,432,487,919,0.47
BMP,583,611,1194,0.49
BMS,210,270,480,0.44
BMb,527,538,1065,0.49
BMh,366,361,727,0.5
BMj,100,102,202,0.5
BMl,172,180,352,0.49
BMm,544,454,998,0.55
BMn,684,609,1293,0.53
BMs,247,231,478,0.52
BMt,65,59,124,0.52
BNB,463,498,961,0.48
BND,81,76,157,0.52
BNH,81,70,151,0.54
BNI,4,6,10,0.4
BNK,31,41,72,0.43
BNL,172,178,350,0.49
BNM,448,567,1015,0.44
BNN,651,727,1378,0.47
BNP,891,923,1814,0.49
BNS,331,378,709,0.47
BNb,497,523,1020,0.49
BNh,196,235,431,0.45
BNl,222,210,432,0.51
BNm,555,529,1084,0.51
BNn,839,804,1643,0.51
BNs,388,357,745,0.52
BNt,108,92,200,0.54
BPB,559,608,1167,0.48
BPD,68,78,146,0.47
BPH,166,175,341,0.49
BPI,47,50,97,0.48
BPK,67,71,138,0.49
BPL,253,322,575,0.44
BPM,586,731,1317,0.44
BPN,742,780,1522,0.49
BPP,1079,1097,2176,0.5
BPS,430,458,888,0.48
BPb,676,626,1302,0.52
BPh,71,78,149,0.48
BPl,346,323,669,0.52
BPm,716,605,1321,0.54
BPn,719,697,1416,0.51
BPs,383,421,804,0.48
BPt,61,46,107,0.57
BSB,202,208,410,0.49
BSD,36,47,83,0.43
BSH,85,111,196,0.43
BSI,9,3,12,0.75
BSK,3,5,8,0.38
BSL,86,103,189,0.46
BSM,262,301,563,0.47
BSN,274,284,558,0.49
BSP,395,378,773,0.51
BSS,246,256,502,0.49
BSb,256,252,508,0.5
BSh,154,161,315,0.49
BSl,129,131,260,0.5
BSm,289,221,510,0.57
BSn,313,330,643,0.49
BSs,259,240,499,0.52
BSt,30,34,64,0.47
BbB,477,476,953,0.5
BbD,49,45,94,0.52
BbH,163,164,327,0.5
BbI,70,48,118,0.59
BbJ,157,137,294,0.53
BbK,44,51,95,0.46
BbL,180,210,390,0.46
BbM,462,600,1062,0.44
BbN,665,704,1369,0.49
BbP,712,720,1432,0.5
BbS,232,312,544,0.43
Bbb,544,506,1050,0.52
Bbh,1,2,3,0.33
Bbl,224,180,404,0.55
Bbm,476,354,830,0.57
Bbn,588,543,1131,0.52
Bbs,258,228,486,0.53
BhB,44,45,89,0.49
BhD,3,7,10,0.3
BhH,5,8,13,0.38
BhI,0,3,3,0.0
BhK,1,0,1,1.0
BhL,26,21,47,0.55
BhM,43,61,104,0.41
BhN,65,65,130,0.5
BhP,76,88,164,0.46
BhS,37,48,85,0.44
Bhb,72,56,128,0.56
Bhh,44,45,89,0.49
Bhl,34,37,71,0.48
Bhm,61,57,118,0.52
Bhn,99,81,180,0.55
Bhs,50,40,90,0.56
Bht,4,8,12,0.33
BjB,150,147,297,0.51
BjD,11,12,23,0.48
BjH,32,36,68,0.47
BjI,11,11,22,0.5
BjK,11,7,18,0.61
BjL,51,68,119,0.43
BjM,128,166,294,0.44
BjN,136,150,286,0.48
BjP,227,212,439,0.52
BjS,88,107,195,0.45
Bjb,181,147,328,0.55
Bjh,22,38,60,0.37
Bjl,79,76,155,0.51
Bjm,121,112,233,0.52
Bjn,177,161,338,0.52
Bjs,95,85,180,0.53
Bjt,18,27,45,0.4
BlB,182,161,343,0.53
BlD,21,21,42,0.5
BlH,115,149,264,0.44
BlI,25,17,42,0.6
BlJ,45,59,104,0.43
BlK,6,8,14,0.43
BlL,71,95,166,0.43
BlM,201,211,412,0.49
BlN,208,249,457,0.46
BlP,250,237,487,0.51
BlS,157,134,291,0.54
Blb,197,174,371,0.53
Blh,0,1,1,0.0
Bll,72,95,167,0.43
Blm,203,154,357,0.57
Bln,181,202,383,0.47
Bls,111,130,241,0.46
BmB,378,421,799,0.47
BmD,121,78,199,0.61
BmH,344,350,694,0.5
BmI,35,27,62,0.56
BmJ,97,112,209,0.46
BmK,1,8,9,0.11
BmL,161,147,308,0.52
BmM,461,565,1026,0.45
BmN,613,624,1237,0.5
BmP,653,611,1264,0.52
BmS,283,328,611,0.46
Bmb,488,424,912,0.54
Bml,164,115,279,0.59
Bmm,483,396,879,0.55
Bmn,508,483,991,0.51
Bms,244,243,487,0.5
Bmt,1,0,1,1.0
BnB,513,513,1026,0.5
BnD,89,82,171,0.52
BnH,319,310,629,0.51
BnI,96,102,198,0.48
BnK,46,80,126,0.37
BnL,225,213,438,0.51
BnM,627,704,1331,0.47
BnN,958,950,1908,0.5
BnP,1024,1066,2090,0.49
BnS,461,520,981,0.47
Bnb,623,572,1195,0.52
Bnh,26,42,68,0.38
Bnl,254,247,501,0.51
Bnm,676,557,1233,0.55
Bnn,831,840,1671,0.5
Bns,461,395,856,0.54
Bnt,1,5,6,0.17
BsB,155,187,342,0.45
BsD,42,45,87,0.48
BsH,226,225,451,0.5
BsI,38,33,71,0.54
BsK,6,6,12,0.5
BsL,83,84,167,0.5
BsM,235,233,468,0.5
BsN,280,280,560,0.5
BsP,338,381,719,0.47
BsS,249,275,524,0.48
Bsb,223,204,427,0.52
Bsh,14,15,29,0.48
Bsl,104,95,199,0.52
Bsm,247,212,459,0.54
Bsn,270,229,499,0.54
Bss,205,198,403,0.51
BtB,50,74,124,0.4
BtD,8,7,15,0.53
BtH,49,52,101,0.49
BtI,2,1,3,0.67
BtK,3,4,7,0.43
BtL,32,31,63,0.51
BtM,68,78,146,0.47
BtN,102,88,190,0.54
BtP,137,143,280,0.49
BtS,60,81,141,0.43
Btb,82,85,167,0.49
Bth,1,0,1,1.0
Btl,30,29,59,0.51
Btm,90,65,155,0.58
Btn,86,80,166,0.52
Bts,49,51,100,0.49
Btt,22,14,36,0.61
DBB,67,74,141,0.48
DBD,19,17,36,0.53
DBH,1,0,1,1.0
DBK,10,14,24,0.42
DBL,16,30,46,0.35
DBM,63,79,142,0.44
DBN,70,77,147,0.48
DBP,66,83,149,0.44
DBS,50,48,98,0.51
DBb,75,51,126,0.6
DBh,7,7,14,0.5
DBj,15,12,27,0.56
DBl,27,18,45,0.6
DBm,94,74,168,0.56
DBn,91,67,158,0.58
DBs,41,30,71,0.58
DBt,6,9,15,0.4
DDB,38,24,62,0.61
DDD,60,18,78,0.77
DDH,24,32,56,0.43
DDI,4,0,4,1.0
DDK,0,0,0,
DDL,13,16,29,0.45
DDM,47,46,93,0.51
DDN,28,26,54,0.52
DDP,46,40,86,0.53
DDS,30,34,64,0.47
DDb,21,25,46,0.46
DDh,1,3,4,0.25
DDl,7,15,22,0.32
DDm,55,65,120,0.46
DDn,25,21,46,0.54
DDs,17,28,45,0.38
DDt,4,1,5,0.8
DHB,48,50,98,0.49
DHD,24,17,41,0.59
DHH,12,19,31,0.39
DHI,7,7,14,0.5
DHK,2,6,8,0.25
DHL,22,28,50,0.44
DHM,87,93,180,0.48
DHN,58,63,121,0.48
DHP,106,107,213,0.5
DHS,76,66,142,0.54
DHb,61,66,127,0.48
DHh,53,31,84,0.63
DHl,32,25,57,0.56
DHm,115,88,203,0.57
DHn,69,65,134,0.51
DHs,67,51,118,0.57
DHt,9,5,14,0.64
DIB,6,7,13,0.46
DID,2,4,6,0.33
DIH,2,5,7,0.29
DII,1,0,1,1.0
DIL,3,5,8,0.38
DIM,7,5,12,0.58
DIN,8,1,9,0.89
DIP,6,9,15,0.4
DIS,4,6,10,0.4
DIb,6,5,11,0.55
DIh,1,0,1,1.0
DIl,3,1,4,0.75
DIm,5,8,13,0.38
DIn,7,3,10,0.7
DIs,5,6,11,0.45
DIt,0,0,0,
DKB,2,0,2,1.0
DKD,2,0,2,1.0
DKI,0,0,0,
DKM,1,3,4,0.25
DKN,0,2,2,0.0
DKP,2,1,3,0.67
DKS,1,2,3,0.33
DKb,1,2,3,0.33
DKl,0,1,1,0.0
DKm,3,0,3,1.0
DKn,0,0,0,
DKs,1,2,3,0.33
DLB,30,31,61,0.49
DLD,9,8,17,0.53
DLH,1,0,1,1.0
DLK,1,7,8,0.12
DLL,16,12,28,0.57
DLM,24,46,70,0.34
DLN,27,20,47,0.57
DLP,35,39,74,0.47
DLS,32,23,55,0.58
DLb,25,33,58,0.43
DLh,11,12,23,0.48
DLj,11,4,15,0.73
DLl,11,15,26,0.42
DLm,41,29,70,0.59
DLn,39,38,77,0.51
DLs,15,16,31,0.48
DLt,5,8,13,0.38
DMB,106,109,215,0.49
DMD,37,27,64,0.58
DMH,0,3,3,0.0
